text,label
at der var noget ganske usædvanligt paa færde kunde ogsaa mærkes derpaa at der ligesom hvilede et tryk over forsamlingen i krogen samtalen vilde ikke rigtig gaa de fleste stod i tavs forventning og saa i den retning hvor tegnet skulde vise sig,0
— tak tak syntes hendes læber at sige idet de sagte bevægede dem uden at man dog kunde høre nogen lyd,0
aage blev længe staaende paa viadukten lænet mod broens brede jærnrækværk som et slusefalds lyd naaede ham larmen af byens brusende liv det var som rige kilder vældede ham i møde,0
og vognene kører mindre hurtigt og gør ligesom mindre larm om dagen bliver jeg tidt angst for hvad alle disse huse vel indeholder jeg tænker paa kiv og trætte misforstaaelse overarbejdelse altfor hastige maaltider uro klokkeringning løben paa trapperne men i skumringen bilder jeg mig ind at der er fred over alt — og man vil dog saa gerne helst tro det som man helst ønsker “ —,1
„ stedet er mig vel kjendt “ svarede inger og gav sig til at grunde med albuerne mod knæene og ansigtet i hænderne “ „ min egen kjære dreng som jeg har baaret hvor længe er det siden at de greb ham “,0
jeg hørte færdselen paa gaden larmen af vogne og hovtramp,1
„ du veed nok at man siger at en jyde kan samle penge paa en sten mange gange skader den ogsaa mindst som klager mest pengene har han imidlertid loft mig men jeg skal selv hente dem du veed at jeg har ingen penge derfor vil jeg bede dig laane mig,0
vogn efter vogn svingede ind ad porten og med vældige piskesmæld og flot drejning hen for stentrappen hvor herremanden hr,1
” gorki har tjent under tyskland i hemmelighed ”,1
fangevogteren gik nu op til aurelia og sagde — en ung mand ønsker at tale med dem,0
— hør der lyder atter stemmer,0
« nej jeg mener nu — nu nu »,0
„ hvorfra kommer da den store familiaritet jeg hørte at han nævnede dem ved fornavn “,0
« aa jeg veed meget mere end du tror ikke skulde de være løben fra jer » spurgte polly drillevornt,0
ser de der kom før et brev til mr albert flint den unge danske oppe paa fjerde sal jeg gik op med det men da jeg hørte to tale sammen inde i hans værelse og kunde høre at den ene var en fruentimmerstemme som paafaldende lignede deres datters saa kiggede,0
der hørtes ingen lyd over markerne præsten blev ved at gaa med hovedet bøjet og kalken ind mod sit bryst middagssolen hang i ornatfolderne som bly,1
0 min anelse hvorfor har jeg ladet ham drage bort — men — vedblev hun nogen tid efter — er det maaske en tilskikkelse fra himmelen for af redde mig og føre mig paa rette vei igjen men kan jeg da vende om er det ikke allerede for sent 0,0
denne følelse var af en mindre blid natur,0
„ men det kan ikke ske straks “,0
hele den nysgærrige sladderagtige by på den måde favned han ikke æteren i én stor følelse af svimmel salighed sådan som den engelske lord havde gjort,0
til langt ud paa natten,0
mine rede penge havde jeg dog været saa forsigtig at beholde paa min person og de befandt sig altsaa i behold,0
thi tidens mænd vare skrøbelige,0
« nej naturligvis naar redaktøren siger det — »,0
„ ieg ønsker to værelser “ svarede den reisende „ jeg forbliver her en otte dages tid “,0
forbausende skygger saaledes lidt bedre bevæbnede mod mørket steg de høiere op i det tiltagende bulder,0
folk og butikker markiser og fodtrin på fliser,1
« hvad er det for en larm i gangen der » spurgte hun ligbleg og skælvede saa hun maatte støtte sig til sengen for ikke at falde,0
saa forfriflede hun sit indre selv ved en forsvarlig slurk af underkoppen og sagde derpaa henvendt til fru kristensen,0
hun slog sine øjne op og rejste sig fra sin liggende stilling paa stolen,0
« hvad skal det sige »,0
da den var kommen og det bar afsted vendte friedel endnu engang sit lille solbrændte ansigt om mod kandidaten,0
— gnid ham godt af jakob han har ikke et tørt haar raabte knud,0
imellem op lyttede et øjeblik spændt paa præsten som for at skjønne hvor langt der var til enden — saa hviskede de videre den dumpe lyd fra menneskemassen derude paa gaden var tydelig at høre blev utaalelig at høre kirkefolkene tik hemmelig travlt med at stikke psalmebogen i lommen,1
iaften var det som bemærket gaaet noget over den tid da faderen plejede at komme hjem han var i reglen i klubben til kl 7 sjeldent længere og fra klubben til hans hjem var der kun faa minutters gang naar han kom var han altid glad og tilfreds altid med,0
af all kun vil jeg for alvor spørge om de virkelig mener at handle fornuftigt ved at afvise en hjælp der uegennyttigt tilbydes dem af en mand hvis ord og vilje de dog næppe har grund til at drage i tvivl «,0
ingen lyd er at høre — kun langt langt borte den sagte mumlen af en rislende brønd,0
„ men socialisterne ville noget ganske andet det har min søn forklaret mig “,0
men humøret fik man nok ikke lade gaa ud over den for da sa ’ den bare spændt nej hun sad saa spændt disse dagene paa om kielsberg klarede huslejen — den var blevet forhøjet ogsaa til sommeren — og fru thorsen kunde vist faa to lejere for én nu paa,0
den samme virkning som disse linier havde frembragt paa den fremmede gjorde de ogsaa paa pater joseph,0
der indefra hørtes støj af rustne stemmer der lo og hujede og asede af dundrende slag i bordet og af tilraab der lød som trudsler eller brøl,1
alting er i bevægelse og larmen vokser begynder ved fabrikerne ved værfterne de mekaniske værksteder sagbrugene blander sig med vognrammel og menneskelige stemmer gennemskæres af en og anden dampfløjte hvis piben stiger til himmels som en jamrende straale og slaar endelig sammen over de store torve saa hele byen er indhyllet i et uhyre brus,1
en lyd hverken oppe eller nede — det var som om alt var sunket hen i en velbehagelig dvale et dolce far niente der for de høje herskabers vedkommende ikke turde afbrydes kun fluerne toge sig den frihed at summe mat og dovent henne i de brede vindusfordybninger saa faldt,1
og vi sad blege og forvirrede og lyttede efter enhver støj om det ikke kunde være fa ’ er som kom — og vi rørte knapt maden — naa sagde mo ’ er i er ogsaa kræsne,0
bænk under et stort bøgetræ noget borte fra stien,0
et skrig et eneste mægtigt og gennemtrængende skrig lyd “ r gennem den mørke kælder saa bliver alt dødt som i graven,0
han gik ind i billardværelset der var mange mennesker og stor støj,1
men det store antal kys og den smækkende lyd som ledsagede dem hendrog hans opmærksomhed paa det elskende par og det vor med et lunt smil af han var vidne til deres samtale der som det almindelig var tilfældet ved landfolks aftale om deres fremtid var ledsaget af en uvilkaarlig,1
„ de første penge som jeg modtager efter min ansættelse skal være hans “,0
i tyde ret dets tone,0
de to elskende sprang op,0
læste idet han antog det for en af bladets sædvanlige avisænder,0
sig fast saa fast i sjælen at de følge en til graven de piner om dagen og forfølger om natten skrækkeligt jeg er en af franklins officerer den eneste af hans mandskab som lever men dyrt købte jeg mit liv da det var sket forstod jeg først hvad jeg havde,0
saa ilede han tilbage,0
haver langs husene toge sig virkelig godt ud i denne sommeraften der hørtes ingen larm eller støj kun et par børn legede tværs over for men de raabte ikke selv deres leg var i overensstemmelse med aftenens toneart,1
hansen der var bleven helt rødmusset og klarøjet af den iver hvormed han ekspederede gjorde et tag i en sæbebøtte der stod inde under disken,0
kun paa bænkene om » hesten « drev et par vagabonder i halvsøvne de vaagnede op ved fodtrinene og rettede sig mens de saa efter de to saa lagde de sig atter til hvile med hovederne i deres hænder og halvt udstrakte som dyr paa lur inde i skyggen,1
„ jo jo “ raabte de andre „ han er en usling “,0
søren sprang rask op ad trappen og aage fulgte ham,0
nej hun vilde hver dag med ind at se de store og smukke huse den larmende færdsel og de glimrende butiksvinduer,1
ikke en lyd havde amelic givet fra sig paany og vognen var neppe standset foran hans gamle hjem i nyboder før de charnay var ude af den for at lykke døren op,0
hendes højhed trak sig lidt tidligt tilbage hun havde en smule ondt i hovedet hun saa ogsaa bleg ud,0
ingen anden lyd end insekternes summen om blomsterne og vandets plask mod stenene — en enkelt gang et hæst mågeskrig,1
sværger at biler revolver og bloddunst er god kunst,1
„ ja “ svarede knud,0
ikke længer sin identitet,0
som ledsagede handlingen men det var dog lyd liv,0
„ min bedstemoder “ hvidsfede irma og stirrede gjennem taarer ned paa graven,0
haandskriffen var ham ubekjendt han kunde derfor ikke som louise strax gjætte hvem brevskriveren var,0
„ hvad som helst i bede faderen om i mit navn skal han give eder “ lød det i hans tanker kun i tankerne thi ingen lyd kom over hans læber „ hahaha ja det har i let nok ved at sige — hu “ nu saa han forskrækket om som hørte han nogen,1
da de gik forbi vort bord mod udgangen rejste jeg mig og bukkede uden at vende mine øjne fra dem de saa ’ stift paa mig deres øjne havde igen en pir lig forundret glans men om deres mund spillede et varmt lovende smil,0
» ja for øieblikket “ svarede juan „ men naar i komme nærmere ville i bemærke en mand der sidder i baaden med en stor kappe omsvøbt sig under kappen bærer han en stor pakke som jeg om det ogsaa gjælder livet maa komme i besiddelse af “,0
og lidt efter sagde hun,0
og saa stilnedes graaden kun en gang imellem hev det med en krampagtig trækning igennem hendes bryst og gav sig lyd i et klagende dybt suk eller ubehersket hik,1
— dn kunde gøre mig en tjeneste oljetrhksmand,0
lyd har hånd og han men altid hans ikke hånds har store og små forbokstaver i navneord og tillægsord o s v,0
end mere til slavernes bittre nag nu nu er det kommet saavidt de sorte ere rede paa et vink af mig og for otte dage siden gik herbert laverton og hans hustru samt greven med florence ombord jeg har dem gaston jeg har dem,0
— det var det jeg har §at her og spekuleret paa hele tiden at det var noget rigtig aabenbarlig vigtig jeg skulde hidned hør nu jon “ — han lagde sin ene tunge næve paa dennes brede aksel „ du er saa bra en mand som det gaar an at være i,0
en forfærdelig larm og bulder naaede hans øre,1
to og nu faldt de sammen,0
melitta kastede et hurtigt undersøgende blik paa begge de nævnte herrer især den sidste som hun kun flygtig var præsenteret for,0
franks tidligere selvbeherskelse var imidlertid vendt tilbage kun for et øieblik havde en bedre natur overvældet ham og yttret sig uforbeholdent han var igjen den gamle,0
saa stode de atter og lyttede mens den ene tanke jog den anden men ikke turde faae lyd i ord hvorledes det var gaaet til at ingen havde advaret dem uagtet dog øland var stillet paa post ved havens indgang det begrebe de ikke og dog var det kommet ganske,0
frugtbod med gulerod duftende porrer og peberrod,1
det gik ham — paa en maade — som studenterne i auerbachs kælder han kunde undertiden — hypnotiseret af læsning i goethe — forestille sig at han rakte armene ud imod skønhed begejstring aand og han stod med en kedsommelig filisternæse i haanden,0
alen som han intet lys saa i rummet omkring sig vilde ej heller noget lys komme op i hans sjæl der kunde vise ham om han der bar et billede af den han skulde bede til,0
st om det meget hæderlige og agtværdige firma lind l vind kan vi satte os i al ønskelig klarhed idet vi ved at det for det første er anbragt i sikkerhed bag laas og lukke i et engelsk fængsel,0
„ er du misfornøiet dermed “ spurgte adolf ihet han trykkede hendes haand,0
— o tal ikke faaledes,0
idet den sorte maste tav klang der gennem den larm som uvejret frembragte en lyd ind i værelset det var raab fortvivlede skrig om hjælp,1
til det hvorved vi staa idag “,0
rumlen af sporvognenes klingren og muslingesælgernes hæse raab — og nu sad han her i provstens store rjørneskindspels og gled hen gennem et æventyrland et luftigt ferige hvor træer og buske ragede op over markerne som hvide og blaalige koraller mens slæden for frem i en lydløs vuggen som svævede den paa lange bløde vinger,1
„ siger du ogsaa det rufus “ sagde den anden med den dybeste bekymring malet i ansigtet,0
saa blev det altsaa en dreng kære kære regitze til lykke,0
den gamle mand svarede blot med at bøje sit hoved og stille børste sin hat medens han stak underlæben frem og taarerne dryppede store og tunge ned over hans gamle røde næse,0
komtessen havde neppe sat skrinet paa bordet førend døren aabnedes og greven traadte ind,0
vi vide det ikke,0
marquisen gik ind ad slottet til langsom ligesom i dybe tanker,0
hen og lukkede vinduerne — havsuset plagede ham med sin evige lyd,1
— „ jeg har aldrig seet mig om her jeg var altid under opsigt “,0
dampmaskinens støj fra varmeapparatet der tørrede huset,1
emmeline fru mathiesens malpropre emme line blev en del skuffet da hun erfarede at oljetryksmanden hverken vilde bortføre eller gifte sig med hende,0
blev han tvungen ud af sin kurs ved at hother borgen greb ham fat i armen og drejede ham halvt om idet han spurgte „ var det ikke dem der for et øjeblik siden sad sammen med min broder baldur borgen deroppe ved den anden dør “,0
først silde skiltes man ad dog kun for parvis hver i sit lukaf nøiere at drøfte tingene og det gjorde man ogsaa saa grundigt at det knagede i alle ender og kanter,0
der foregik en fuldstændig forvandling med den letsindige vellystning han var med ét blevenædru,0
intet svar ikke en lyd men hen over det sollyse grus uden for døren glider en skygge vokser fladt hen over gangens grus hoved og overkrop og skyggen af en kjole lige uden for døren bliver skyggen liggende langstrakt og stille ingen viser sig,0
mumlen fulgte paa disse ord,0
hun blev saa forundret at hun blev staaende,0
derfor vil ingen dandse med dig,0
det var som om hoffmann vilde skyde fra sig tanken om at hun ikke nu skulde svare til det billede han havde bevaret af hende » aa jo ser du der er saa meget forandret,0
hvor var hun fra,0
for ikke af opleve den smerte af see sin festdag gaae kold og » ændset hen,0
fordringer nu maae de have forstaaet mig katharina,0
— har zerlina begaaet en eller anden brøde — nei men jeg fatter ikke hvorfor hun nærer mindre tillid til dig der er en prøvet ven end til mig der dengang kun var en fremmed for hende,0
pollux fortalte nu hviskende alt hvad der var foregaaet i hint værelse mellem selma og birk,0
publikum som et slags fortsættelse af fortovet med dets støv og støj den holdt en middelvej kontorerne fandtes i en stueetage paa det bedste strøg men for publikum var der ikke anden anvisning end firmaets navn i porten paa forste sal havde berlong sin private lejlighed men desuden ejede han,1
af den ejendommelige lyd der ledsagede tordenbraget kunde man ikke tage fejl,0
han hørte den klaprende ramlende lyd af mange træsko ude paa stenbroen i gaarden,1
da lød pludselig med ét et skrig,0
kirkeklokken var hørt op at lyde og de tre sidste slag vare længst hendøede i luften før han atter bøjede hovedet og dyppede sin pentime gik efter time — da hørtes endelig uro i huset — stemmer — og en lyd som af et højt og klart barneskrig han fo ’ r,1
han saa tungsindigt paa mig,0
fru von pollnitz saa ’ over paa sin mand hans » plade « sad skævt,0
stien i den klare stille frostnat gik de længe tavse arm i arm ikke en lyd forstyrrede s heden thi der laa et tykt snetæppe over jo de tænkte begge paa brunck tilsidst brod ud » det falder mig saa tungt at tænke paa,0
ude paa trapperne lød der en larm som af flere hundrede skridt,0
— john tonnier,0
„ min lille pige du maa ikke blive vred paa mig men jeg troer din faer snyder herren “,0
en efter en sniger tanse skikkelser sig hen mod det lille slot,0
de mange lem me hørte han støj fra kjælderen neden under hvor maskinfolkene gik og arbejdede og saa ’ han opad svimlede det næsten for ham,0
— ih nei hvor frøkenen bliver bleg skal jeg hente lidt band,0
naar da den kolde barske nordenvind kom susende klapprede den store port frem og tilbage med en pibende klagende lyd som om den vilde anraabe den forbigaaende vandrer om at træde ind og melde sig som herre i det forladte slot,0
madammen med opvaskningen og en sporvogn ringlede forbi oppe paa gamle kongevej,1
fodtrin af himmelske fødder saa smaa og saa lette,1
betjenten paa hjørnet syntes balsameret ind i kedsomhed og i kafévinduet sløsede stamgæsterne over illustrerede blade mens søndagsfrie unge mænd søgte at voldtage det gode humør ved støjende lystighed og mangfoldige bajere fra fad,1
» du ser vel ialfald snart hjem til os «,0
» hvorfor ikke lige saa godt for dem «,0
droskekusken laa i min seng og sov fast,0
men alt løb rundt for hende grønne og gule farver dandsede hende forbi øinene lukkede sig og uden af udstøde en lyd sank hun fuldstændig bevidstløs tilbage i stolen —,0
ingen fodgængere dybt nede i alléen en svagt klingrende sporvogn og længere borte i fjernheden det mumlende drøn af den store by som søger sine adspredelser inden den lægger sig til hvile,1
og byen vaagned og hammerne dansed igen med rungende slag ved værfterne og indad gaderne rulled bøndernes kærrer med langsom,1
lyd af vognenes raslen og sporvognenes ringen samt nogle legende rørns skraal og latter fra nabogaarden ind gennem det aabentstaaende vindue,1
hun turde nu smile aabent til ham og de saa af og til hverandre varmt ind i øjnene mens de fulgtes ned igennem haven fra en blomstrende rosenbusk de kom forbi flagrede en hvid sommerfugl op i solskinnet og elm sagde idet han pegede efter den,0
» jeg maa paalægge dem ikke at gøre saa megen støj — de forstyrrer jo hele husets ro « sagde slutteren efter at være kommen ind i cellen » hvad vil de «,0
den unge kone sank om paa en stol og skjulte aasynet i sine hænder hendes fine legeme rystede som i febergysninger men ikke en lyd kom over hendes læber,0
telefonen ringed uafladelig folk kom og gik maskinerne sused ind fra trykkeriet og postbudet bragte nye dynger af breve og aviser,1
der sidder en spinkel gasarm højt oppe paa den nøgne væg naar arrestforvareren har været her bærer den et gult blus der syder og koger lyset kan jeg ikke lide det slaar saa ubarmhjærtigt alting ihjel men denne lyd er saa uforstyrrelig og trofast den eneste der giver sig tid,1
madam dick som var den egentlige lejer greb nu ind « ved værten a ’ at stoltenberg har tjent viceværten som gaardmand i den sidste uge »,0
gadens støj og larm trængte sig ind til de to tause mænd de rørte sig ikke baer havde lukket øjnene og glørsen sad kun og saa paa ham,1
han og de andre der sled sig op i døgnets smaating udførte egentlig kun den støjende musik,1
„ nej “ sagde han „ jeg er overfaldet og ført hertil med magt jeg er ingen morder “,0
inga var bleven purpurrød i ansigtet hun slog forlegen øinene ned og svarede,0
—• ikke saaledes —,0
der blev en lang trykkende stilhed luften sænkede sig ligesom ned og fortættede sig i en klam taage der gjorde ham drivende vaad saa hørte han atter hendes stemme vedsidenaf sig nu mere utydeligt det surrede og surrede og luften blev mere og mere kvælende med en kvalm duft af,1
„ aa— “ antoinette smilede „ jeg har talt med kunstnere før “,0
ivrigt fortsatte han arbejdet,0
„ færvel hr smith “,0
have seet hans lykke den stakkel — ja du betragter mig saa forbavset mit lam der er ingenting i det det veed gud der ikke er jeg giver ham ikke mere end hvad der netop behøves for at holde ham ilive det er et spil med regnepenge det morer saalænge,0
hun lukkede skyndsomt øinene som om hun frygtede for at blive vidne til et eller andet gyseligt syn,0
knuds side men denne opdagelse skete endnu ikke denne gang harald kom nu til men alene og stillede sig ligeledes ved knuds side,0
en ejendommelig støj henne fra væggen rev hende ud af hendes fantasier,0
hun slugte kjøbenhavn gik op i byens døgnliv blev en lydig sangbund for dens toneart og en ivrig dyrker af dens guder,1
med et standsede hun og kastede sig plat ned paa jorden under nogle kæmpestore bregner hendes skarpe øjne havde opdaget de røde uniformer som nærmede sig i en lang spredt linie,0
det som de nu så foran sig bægge vændte sig og tok mål av lanskapets vidde og glans derpå smilende mot hverandre besynnerlig nætop i denne stun ikke ét mænneske at se ikke en lyd eller larm som minte om noget nær eller fjærn de og deres hjæm den ene,1
g d igen til andersen „ gaar de i kirke “,0
det er som de med engang hensattes i en anden verden saa stille og vel føler de dem der mens de af tummelen udenfor i det høieste hører en lyd som af en dumprullende fjern torden,0
vil jeg ikke ved at forraade dem tillige bringe mig selv i forlegenhed gjensvarede larsen,0
„ o hvem der kunde følge med “ sagde palle sukkende her ude i ensomheden mellem klitbakkerne hvor ingen lyd hørtes følte han sig end mere forladt den heftige vrede der havde opfyldt ham da han forlod gaarden maatte nn vige pladsen for den smertelige følelse af at han var et stakkels,1
der gik et ondt truende udtryk hen over mandens mørke ansigt idet han ved sig selv udtalte de sidste ord,0
» hvis han har brug for romerske borgere til den slags stillinger saa bliver jeg i al fald ikke en af dem «,0
saa jeg maatte ha dem tilbage aldeles sikkert inden fjorten dage «,0
i butiken men glem inte hvad du vil sige mens jeg er borte ja du forbarmende himmelske retfærdighed man hører meget i denne verden,0
— jeg havde min s ’ æl og salighed i tankerne allerede opsat deres testamente til fordel for byens ugifte jomfruer sagde gormsen vittigt nu får piven en anden lyd — men hva ’ pokker man kunde jo ha ’ tænkt det — de kunde ikke få lov at gå i fred med deres,1
— jeg hører en lyd hvad mon det er det lyder for mine 0 rer som om man gravede i jorden — ja det gjør man ogsaa,0
trods søgte hun at bekæmpe det var de skurrende toner der pinte hende som støj kan pine den syges nerver,1
« en som ej er dem fremmed ønsker dem lys i hjemmet »,0
hans stemme blev svagere og svagere hver gang albert søgte at nærme sig ham begyndte han med al sin kraft at kæmpe om sig,0
mens jeg tænkte dette hørte jeg bag mig lyd af en hestehov,0
carsten saae tilbage da reimer standsede udstødte han et spottende skrig og fortsatte sit voldsomme ridt over broen ind i byen,0
aschinta knugede hænderne mod brystet hendes læber bevægede sig uden at srembringe en lyd han talte saa hjerteligt til hende han var saa glad over at hun var kommet tilbage — og hun hun havde forraadt ham,0
— det gaar paa ingen maade an,0
de fare forbi som en elektrisk susen en strøm af vellyd en række af afbrudte sætninger af forvirrede ord,1
konen kunde aldrig faae sagt et ord,0
der gik et gys gjennem ham og han ønskede sig næsten tilbage til sengevarmen — da hørte han endnu en lyd — lyden af en spade der arbeidede,1
„ mig har han i aften frastjaalet 75 daler,0
er ligemeget hun smager bravt skaal broder,0
— sagde du at jeg var hjemme,0
staar foran manende rædsler af film i en dør,1
aandedræt om george sand honoré balzac tanas nøk om aloses og jehova samt om johannes aabenbaring og dyret med de syv hoveder hans hjerne var et kaos,0
— jo dog synes jeg af det er lidt forunderligt men maaske sagen er af hun elsker felix og derfor altid opsøger ham,0
saa rejste man sig og gik overgaard indviklet i et stridsproblem med frøken palm anna funch og gerhard nogle skridt bagefter,0
» det forbud maa kun eksistere i præsternes hjærner i biblen har jeg forgæves søgt det saa vidt jeg véd opponerede baade kristus og hans apostle luther opponerede ogsaa «,0
bøjede han sig frem mod hende,0
« men du godeste gud er de sikker paa hvad de siger der »,0
„ saalænge der er liv er der haab “ svarede han „ guds langmodighed er stor “,0
kerne kom op fra den stenede strandmark og svingede sig højt op i luften medens støjen kom op inde fra byen rumlende vogne og et,1
hvad jeg skal finde paa og saa faar piben en anden lyd «,0
dampbaadspiberne ind i støjen og fra refshaleøen hvoi dampskibene rejste deres store skrog paa værfterne j7j lød maskinernes larm og smedenes hamren ud over rheden,1
saa delte støjen sig ind i gadernes store ventende gab og svagere og svagere rullede den frem gennem husenes store stilhed piblede ind i en port ned i et stræde som om stenrækkernes tavse graa langsomt havde suget den til sig,1
fra tantens nu ikke en lyd foran dem en svak gløtt ved hans dør de nådde derhen han skøt den sagte op ogcvilde føre henne in men her stanset hun vilde dra hånden til sig han hørte hennes pust kænte hennes ånde skimtet det bleke åsyn— mens han læmpelig skøt,1
al anden lyd ude var hans barndom gledet hen de klamme draaber havde slukket hans tanker og alt hvad han havde syslet med var sovet ind under deres ensformige smaagrædende nynnen,1
ved sig selv mumlede han,0
hun gik op på katedret tok en lineal og slog af al sin magt til lyd de strømmede også in fra bægge kanter så slog hun igen og det blev stilt hun så,0
